angry,disgust,fear,happy,neutral,sad,suprise
C:\Users\saikr\Desktop\data\train\angry\Training_99744727.jpg,C:\Users\saikr\Desktop\data\train\disgust\Training_5258769.jpg,C:\Users\saikr\Desktop\data\train\fear\Training_358270.jpg,C:\Users\saikr\Desktop\data\train\happy\Training_354659.jpg,C:\Users\saikr\Desktop\data\train\neutral\Training_600674.jpg,C:\Users\saikr\Desktop\data\train\sad\Training_996099.jpg,C:\Users\saikr\Desktop\data\train\surprise\Training_15950.jpg
C:\Users\saikr\Desktop\data\train\angry\Training_99747835.jpg,C:\Users\saikr\Desktop\data\train\disgust\Training_5387344.jpg,C:\Users\saikr\Desktop\data\train\fear\Training_387737.jpg,C:\Users\saikr\Desktop\data\train\happy\Training_355217.jpg,C:\Users\saikr\Desktop\data\train\neutral\Training_616594.jpg,C:\Users\saikr\Desktop\data\train\sad\Training_996932.jpg,C:\Users\saikr\Desktop\data\train\surprise\Training_44083.jpg
C:\Users\saikr\Desktop\data\train\angry\Training_99762841.jpg,C:\Users\saikr\Desktop\data\train\disgust\Training_5395043.jpg,C:\Users\saikr\Desktop\data\train\fear\Training_484788.jpg,C:\Users\saikr\Desktop\data\train\happy\Training_371241.jpg,C:\Users\saikr\Desktop\data\train\neutral\Training_643922.jpg,C:\Users\saikr\Desktop\data\train\sad\Training_1015213.jpg,C:\Users\saikr\Desktop\data\train\surprise\Training_163503.jpg
C:\Users\saikr\Desktop\data\train\angry\Training_99770811.jpg,C:\Users\saikr\Desktop\data\train\disgust\Training_5420780.jpg,C:\Users\saikr\Desktop\data\train\fear\Training_531060.jpg,C:\Users\saikr\Desktop\data\train\happy\Training_395846.jpg,C:\Users\saikr\Desktop\data\train\neutral\Training_726702.jpg,C:\Users\saikr\Desktop\data\train\sad\Training_1055316.jpg,C:\Users\saikr\Desktop\data\train\surprise\Training_170069.jpg
C:\Users\saikr\Desktop\data\train\angry\Training_99779776.jpg,C:\Users\saikr\Desktop\data\train\disgust\Training_5459858.jpg,C:\Users\saikr\Desktop\data\train\fear\Training_536165.jpg,C:\Users\saikr\Desktop\data\train\happy\Training_430147.jpg,C:\Users\saikr\Desktop\data\train\neutral\Training_780242.jpg,C:\Users\saikr\Desktop\data\train\sad\Training_1068344.jpg,C:\Users\saikr\Desktop\data\train\surprise\Training_191269.jpg
C:\Users\saikr\Desktop\data\train\angry\Training_99819558.jpg,C:\Users\saikr\Desktop\data\train\disgust\Training_5760281.jpg,C:\Users\saikr\Desktop\data\train\fear\Training_545062.jpg,C:\Users\saikr\Desktop\data\train\happy\Training_431681.jpg,C:\Users\saikr\Desktop\data\train\neutral\Training_808976.jpg,C:\Users\saikr\Desktop\data\train\sad\Training_1073726.jpg,C:\Users\saikr\Desktop\data\train\surprise\Training_220550.jpg
C:\Users\saikr\Desktop\data\train\angry\Training_99847717.jpg,C:\Users\saikr\Desktop\data\train\disgust\Training_6954217.jpg,C:\Users\saikr\Desktop\data\train\fear\Training_560850.jpg,C:\Users\saikr\Desktop\data\train\happy\Training_434102.jpg,C:\Users\saikr\Desktop\data\train\neutral\Training_823826.jpg,C:\Users\saikr\Desktop\data\train\sad\Training_1088995.jpg,C:\Users\saikr\Desktop\data\train\surprise\Training_238687.jpg
C:\Users\saikr\Desktop\data\train\angry\Training_99878127.jpg,C:\Users\saikr\Desktop\data\train\disgust\Training_7383909.jpg,C:\Users\saikr\Desktop\data\train\fear\Training_593915.jpg,C:\Users\saikr\Desktop\data\train\happy\Training_467541.jpg,C:\Users\saikr\Desktop\data\train\neutral\Training_860407.jpg,C:\Users\saikr\Desktop\data\train\sad\Training_1121862.jpg,C:\Users\saikr\Desktop\data\train\surprise\Training_320784.jpg
C:\Users\saikr\Desktop\data\train\angry\Training_99942480.jpg,C:\Users\saikr\Desktop\data\train\disgust\Training_7487631.jpg,C:\Users\saikr\Desktop\data\train\fear\Training_630805.jpg,C:\Users\saikr\Desktop\data\train\happy\Training_498981.jpg,C:\Users\saikr\Desktop\data\train\neutral\Training_936543.jpg,C:\Users\saikr\Desktop\data\train\sad\Training_1143303.jpg,C:\Users\saikr\Desktop\data\train\surprise\Training_336818.jpg
C:\Users\saikr\Desktop\data\train\angry\Training_99946015.jpg,C:\Users\saikr\Desktop\data\train\disgust\Training_7602986.jpg,C:\Users\saikr\Desktop\data\train\fear\Training_661783.jpg,C:\Users\saikr\Desktop\data\train\happy\Training_500597.jpg,C:\Users\saikr\Desktop\data\train\neutral\Training_949081.jpg,C:\Users\saikr\Desktop\data\train\sad\Training_1198552.jpg,C:\Users\saikr\Desktop\data\train\surprise\Training_343893.jpg
